,SCHOOL NAME,CITY,COUNTY,ZIP,SCHOOL TYPE,ENROLLED,% IMMUNE MMR
0,AMERISCHOOLS ACADEMY - YUMA SOUTH CAMPUS,YUMA,YUMA,85364.0,CHARTER,21,0.86
1,ASH FORK ELEMENTARY SCHOOL,ASH FORK,YAVAPAI,86320.0,PUBLIC,21,0.95
2,CALVARY CHAPEL CHRISTIAN SCHOOL,TUCSON,PIMA,85710.0,PRIVATE,21,0.91
3,CANYON POINTE ACADEMY,GLENDALE,MARICOPA,85308.0,CHARTER,21,0.91
4,CHILDREN REACHING FOR THE SKY PREPARATORY,TUCSON,PIMA,85711.0,CHARTER,21,0.81
5,COLLIER ELEMENTARY SCHOOL,TUCSON,PIMA,85749.0,PUBLIC,21,0.95
6,IMMACULATE CONCEPTION CATHOLIC SCHOOL,COTTONWOOD,YAVAPAI,86326.0,PRIVATE,21,0.81
7,JEEHDEEZ'A ACADEMY (LOW MOUNTAIN),LOW MOUNTAIN,NAVAJO,86503.0,PUBLIC,21,1.0
8,LIBERTY TRADITIONAL CHARTER SCHOOL - SADDLEBACK,DOUGLAS,COCHISE,85607.0,CHARTER,21,1.0
9,LIBERTY TRADITIONAL CHARTER SCHOOL - SADDLEBACK,DOUGLAS,COCHISE,85607.0,CHARTER,21,1.0
10,LIBERTY TRADITIONAL CHARTER SCHOOL - SADDLEBACK,DOUGLAS,COCHISE,85607.0,CHARTER,21,1.0
11,MARY C O'BRIEN ELEMENTARY SCHOOL,CASA GRANDE,PINAL,85294.0,PUBLIC,21,0.86
12,MEXICAYOTL ACADEMY K-5,TUCSON,PIMA,85705.0,CHARTER,21,1.0
13,PARAMOUNT ACADEMY,PEORIA,MARICOPA,85345.0,CHARTER,21,1.0
14,PINE FOREST SCHOOL,FLAGSTAFF,COCONINO,86001.0,CHARTER,21,0.33
15,SAINT JEROME CATHOLIC SCHOOL,PHOENIX,MARICOPA,85029.0,PRIVATE,21,0.95
16,SAINT JOSEPH CATHOLIC SCHOOL,TUCSON,PIMA,85711.0,PRIVATE,21,0.95
17,SAINT LOUIS THE KING SCHOOL,GLENDALE,MARICOPA,85301.0,PRIVATE,21,1.0
18,VERDE CHRISTIAN ACADEMY,COTTONWOOD,YAVAPAI,86326.0,PRIVATE,21,0.95
19,CREO SCHOOL,,MARICOPA,,PRIVATE,22,0.59
20,DESERT VIEW LEARNING CENTER,PARADISE VALLEY,MARICOPA,,PRIVATE,22,0.73
21,EDISON SCHOOL OF INNOVATION,GLENDALE,MARICOPA,85305.0,CHARTER,22,1.0
22,FRANKLIN PHONETIC PRIMARY SCHOOL SUNNYSLOPE,PHOENIX,MARICOPA,85020.0,CHARTER,22,0.86
23,HOLLADAY INTERMEDIATE MAGNET SCHOOL,TUCSON,PIMA,85713.0,PUBLIC,22,0.86
